,Unnamed: 0,ID(alias),ID,Тип лидерства,комментарий
0,0,miller3,6182154,транзакционный,"немного трансформационный художник, комменты удалил опцию"
1,1,es_borisenko,61756961,служитель,"немного трансформационный, фотограф женщина"
2,2,ekaterina.kuzovkova,301218,транзакционный,"модель, только свои фото, комменты удалена опция"
3,3,id59772761,59772761,трансформационный,"диджей из Белгорода, может трансформационный, - транзакционный"
4,4,drevid_art,86539724,транзакционный,"парень, фотограф-дизайнер, любит себя"
5,5,teslenko75,559365,служитель,"натуралист, блогер Lifejournal, комменты удалены как опция, но скорее служитель"
6,6,varyaskorodumova,267326387,,"лучше исключить, полуголые фото девушки и перепосты группы текстов для песен"
7,7,yanmanakov,14831271,трансформационный,сыроед
8,8,id67614486,67614486,трансформационный,"гонщик из Новосибирска, много друзей, постов мало, лайков по разному. Развивает свой бренд и ассоциации автомобильные транзакционный или может трансформационный"
9,9,id153474635,153474635,транзакционный,"девочка из Перми, мало друзей, но много лайков, функция комментов удалена, на всех фото она сама"
10,10,id164768818,164768818,трансформационный,"развивает модельную школу в Самаре, ассистент"
11,11,id377444384,377444384,транзакционный,Обычная девушка из Киева со своими фото транзакционный или не лидер
12,12,id499293654,499293654,служитель,"религиозная девушка, развивает православные традиции, служитель или транфлрмационный"
13,13,laska30,5492240,служитель,"ведущая свадьбы в Питере, трансформационный или служитель"
14,14,mexxart,77037289,транзакционный,"фотограф, Сургут, только свои фото и жены..Транзакционный"
15,16,mickeeey,2266466,,"девушка-модель, но лайков мало, свои фото..не лидер"
16,17,avi_club,138506231,транзакционный,астролог
17,18,id1159121,1159121,транзакционный,"танцор девушка, хорошая"
18,19,djtsvetkoff,1516042,трансформационный,"диджей, создатель своей школы в Питере, транзакционный или трансформационный"
19,20,sashadetrafo,17967608,трансформационный,"художник, трансформационный, но всем отвечает"
20,21,idlenka_999,302871779,,закрытый профиль
21,22,djaltuhov,73622880,трансформационный,"диджей, свои фото, нет комментов, позитивный, транзакционный или трансформационный"
22,23,id68752101,68752101,,"не лидер, много друзей, но своего контента и идеи нет"
23,24,sergeyvoynoff,1974659,транзакционный,"татумастер, комменты отключены, много друзей и своих работ, транзакционный"
24,25,zotovazm,275542564,служитель,"депутат москвы, служитель или трансформационный"
25,26,yanyugay,37264961,транзакционный,"фотограф, арт, много друзей, комменты отключены, транзакционный"
26,27,id11573319,11573319,трансформационный,"развивает свою группу вязания игрушек, продажи, трансформационный"
27,28,iirs.lototska,45151655,,с 2017 года нет постов
28,29,mr_veisov,16570928,трансформационный,"трансформационный или транзакционный, орифлейм"
29,30,antik20023,978265,трансформационный,"танцор, хороший, трансформационный"
30,31,id17786179,17786179,,"посты 2017года, модель, группа удалена"
31,32,jsjsjs,50150918,транзакционный,"модель из Питера, транзакционный"
32,33,crow_of_spades,20228219,транзакционный,"татумастер, транзакционный"
33,34,id437668940,437668940,,профиль не находится
34,35,listerman_ru,4602035,трансформационный,Петр Листерман - трансформационный
35,36,dari1220,23463327,трансформационный,"певица русских песен, сталининстка, коммунистка, трансформационный, но негатива достаточно"
36,37,ivanovantonph,155898136,служитель,"фотограф, комменты есть, всем отвечает, служитель или транформационный"
37,38,id5730566,5730566,служитель,"орнитология, всем отвечает, служитель"
38,39,id321620666,321620666,,"активность 2017 года, свои фото девочки"
39,40,nataliaposh8,43287096,,"девушка, только свои секси фото, комментов нет"
40,41,polibinm,57536247,служитель,"марафонец, служитель или трансформационный"
41,42,id34573330,34573330,,"идеи нет, свои фото девушки, комментов нет, транзакционный или не лидер"
42,43,id2690445,2690445,служитель,"фото птиц и медведей Камчатки, трансформационный или служитель"
43,44,bronikenart,331507362,трансформационный,татумастер. Трансформационный или транзакционный
44,45,alekseevroman61,264740838,транзакционный,"фотограф в Волгодонске, транзакционный скорее, комменты отключены"
45,46,id1201763,1201763,служитель,"развивает фонд помощи старикам, служитель"
46,47,radomskiy_alexander,54110049,,"фотограф, не ведет vk год"
47,48,khatia_meskhia,5757882,,"модель, не ведет Vk 2 года"
48,49,kris97davletshina,96025640,транзакционный,"модель из Новосибирска, мисс 2017, комменты отключены, транзакционный"
49,50,enseignementdufle,454044943,служитель,"француз, делает ролики о языке и Франции, служитель или трансформационный"
50,51,id86856079,86856079,,"два года не ведет, только о себе и свои фото"
51,52,podstavnyagina_yulia,20559718,трансформационный,"учится в США, ведет блог, редко, трансформационный"
52,53,id67830847,67830847,транформационный,"трансформационный, т.к. развивает концерты и преподавание для детей"
53,54,id305588155,305588155,служитель,"депутат Москва, трансформационный или служитель"
54,55,shinkaruuk,19656307,,"только свои фото, Калининград, транзакционный или не лидер"
55,56,artemmansur_official,3499511,трансформационный,"диджей и ведущий из Питера, транзакционный или трансформационный"
56,57,anfisalisa21,100601237,трансформационный,"сетевой маркетинг, трансформационный"
57,58,alenamasneva,15464543,,"о себе, идеи нет, комменты отключены, позитивно, транзакционный или не лидер"
58,59,id38568174,38568174,,"только о себе, нет идеи, комменты тоже"
59,60,liubainchina,450721607,трансформационный,"много о себе, Китае, своих историй, всем отвечает, служитель или транформационный"
60,61,sokolovarulit,150433840,,"не ведет с 2018г и все о себе, много друзей и подписчиков"
61,62,id12329839,12329839,,"редко ведет девушка, только свои фото"
62,63,id55171386,55171386,служитель,"орнитолог, фото птиц и зверей, всем отвечает, служитель"
63,64,id54180501,54180501,,"политический журналист, служитель, все о народе, хотя комменты тоже не видны"
64,65,e.velikaya,241857,,"девушка-архитектор, но идеи нет, транзакционный или не лидер"
65,66,elenapasternak,1128374,служитель,"служитель, психологические тренинги проводит, но всем отвечает и много полезного"
66,67,sportsvetulina,37832703,трансформационный,"развивает свой проект жиродойка – похудение, трансформационный, комменты откоючены, реклама проекта"
67,68,good_guide,180675996,служитель,"инструктор в горах, отвечает всем, своя группа, фото гор и природы, служитель или трансформационный"
68,69,bogautov,2554705,трансформационный,"из муз.команды VK, трансформационный"
69,70,id138816274,138816274,трансформационный,"пишет рассказы, грустные, трансформационный из-за негатива, хотя отвечает"
70,71,earthdao,46591401,трансформационный,"девушка-режиссер, много друзей, нет комментов, но скорее трансформационный, т.к. развивает свою Студию Наследники"
71,72,dopeindulgence,2247366,,"татумастер, давно около года нет постов"
72,73,id62705098,62705098,,брокерская контора
73,74,aida1109,147699023,транзакционный,"таксист о себе, транзакционный"
74,75,id102058487,102058487,трансформационный,"профессиональный кикбоксер, трансформационный или транзакционный"
75,76,siburap,91317397,транзакционный,"музыкант SIBUR, транзакционный"
76,77,kachetkovofficial,223356,транзакционный,"ведущий на online tv, комменты отключены, транзакционный или трансформационный"
77,78,id16229079,16229079,трансформационный,развивает тренинги мужа по исцелению. трансформационный
78,79,id26131704,26131704,,"не лидер, свои фото девушки и нет комментов, нет идеи"
79,80,didream21,151250821,,"модель, свои фото, без комментов"
80,81,id420868047,420868047,служитель,"служитель, развивает центр реабилитации для женщин в трудной ситуации МИР"
81,82,irika_rotar,30070385,,"девушка, свои фото, год не ведет, комменты отключены"
82,83,dashasupertema,38264770,,"девушка, свои фото"
83,84,sabina_knyazeva,12549495,,"Девушка, свои эротические фото и все"
84,85,margaritadirge,58471516,транзакционный,"Девушка, татту, развивает свой бренд, не отвечает на комменты, но пишет, транзакционный"
85,86,anngeneral,5555794,трансформационный,"VK почти не ведет уже, а FB ведет и там трансформационный лидер, фото современного искусства"
86,87,irinavolodchenko,5534502,,"год не ведет, Молодая гвардия, политика, если бы вела - трансформационный"
87,88,sonya.koroleva,315807106,,фото попы и все
88,89,id13832488,13832488,,голые девушки и треки
89,90,id21453059,21453059,,"девушка, свои фото, без идеи"
90,91,id91497567,91497567,,"свои фото, девушка, без идеи"
91,92,liya_sokolova,153460605,,не ведет уже 3 года
92,93,egorvkurse,2429322,трансформационный,"историк, развивает группу Цифровая история, снимает видео- отзывы о фильмах, редко отвечает на комментарии, трансформационный на грани со служителем"
93,94,andreyglazkov,35208371,трансформационный,"Диджей, развивает свою группу и сайт, делится своими треками транформационный или транзакционный"
94,95,sola_monova,3271005,трансформационный,"поэтесса известная, трансформационный лидер"
95,96,sidorkov,1324639,трансформационный,"из команды VK, трансформационный"
96,97,id241414429,241414429,трансформационный,"поэт, комменты отключены, сотни лайков выложенных стихов, трансформационный"
97,98,id936157,936157,трансформационный,"танцор-хореограф, КВН девушка, трансформационный"
98,99,idvladaalmaz,155606519,,скорее бот
